filmName,realName,realGender,filmBudget,firstFilm,year
Yalda,Bakhshi Massoud,M,1.25,false,2018
L’Enkas,Marx Sarah,F,1.24,true,2018
Weldi,Ben Attia Mohamed,M,1.24,false,2018
Jeanne,Dumont Bruno,M,1.23,false,2018
Territoria,Martirosyan Nora,F,1.22,true,2018
La Part du feu,Laxe Oliver,M,1.22,false,2018
Rojo,Naishtat Benjamin,M,1.22,false,2018
Femme-enfant,Hamzawi Amro,M,1.22,true,2018
Douze mille,Trebal Nadège,F,1.21,false,2018
Positive school,Ayouch Nabil,M,1.20,false,2018
Le Fataliste,Garrel Louis,M,1.20,false,2018
Liberté,Serra Albert,M,1.20,false,2018
Strahinja,Arsenijevic Stefan,M,1.20,false,2018
La Cordillère des songes,Guzman Patricio,M,1.19,false,2018
Si demain…,Godet Fabienne,F,1.18,false,2018
L’Oiseau de paradis,Aivanaa Manate Paul,M,1.18,true,2018
Fille unique,Merle Bruno,M,1.14,false,2018
Demain je traverse,Farsi Sepideh,F,1.11,false,2018
"Chambord, le cycle éternel",Charbonnier Laurent,M,1.11,false,2018
Touch me not,Pintilie Adina,F,1.06,false,2018
Nekfeu - the documentary,Boulanouar Syrine,M,1.05,true,2018
Pari,Etemadi Siamak,M,1.03,false,2018
La Francisca,Litorriaga Rodrigo,M,1.02,false,2018
Viaje alrededor del cuarto de una madre,Rico Celia,F,1.00,false,2018
Les Héros ne meurent jamais,Rapin Aude Léa,F,1.00,true,2018
Ni dieux ni maîtres,Cherriere Eric,M,0.96,false,2018
Justice en cours,Salis Robert,M,0.95,false,2018
Desrances,Traore Apolline,F,0.95,false,2018
Les Drapeaux de papier,Ambrosioni Nathan,M,0.94,true,2018
Lourdes,Demaiziere Thierry / Teurlai Alban,M,0.93,false,2018
A nos pères,Dong Fangchen,M,0.92,true,2018
La Marche des loups,Bertrand Jean-Michel,M,0.89,false,2018
Un fils,Barsaoui Mehdi,M,0.89,false,2018
Oh les filles !,Armanet François,M,0.87,false,2018
Le Dernier bain,Bonneville David,M,0.85,false,2018
Il rumore del sol,Locatelli Mirko,M,0.85,false,2018
Rivonia,Porte Gilles / Champeaux Nicolas,M,0.85,false,2018
We blew it,Thoret Jean-Baptiste,M,0.84,true,2018
M,Zauberman Yolande,F,0.82,false,2018
"Cachalots, à la rencontre des géants",Vincent Guillaume,M,0.79,false,2018
Frères d'arme,Labrosse Sylvain,M,0.79,true,2018
Monsieur,Gera Rohena,F,0.78,false,2018
La Fureur de voir,Von Sturler Manuel,M,0.78,false,2018
Domingo,Barbosa Fellipe / Linhart Clara,F/M,0.77,false,2018
Paris calligrammes,Ottinger Ulrike,F,0.73,false,2018
Saint inconnu,Aljem Alaa Eddine,M,0.71,false,2018
Un tramway à Jérusalem,Gitai Amos,M,0.71,false,2018
Ulysse et Mona,Betbeder Sébastien,M,0.67,false,2018
Tous les dieux du ciel,Claudin Alexandre,M,0.66,true,2018
Le Chant du rossignol,Letaief Ibrahim,M,0.62,false,2018
Le Bois,Drexel Claus,M,0.59,false,2018
Fugue,Benki Artemio,M,0.59,true,2018
Système K,Barret Renaud,M,0.58,false,2018
Flesh out,Occhipinti Michela,F,0.58,false,2018
Monsieur Deligny,Copans Richard,M,0.56,false,2018
Histoire d'un regard,Otero Mariana,F,0.54,false,2018
